SampleID,Crop,Plot_number,Treatment,Rep,Sampling_date,Plant_number,Temp,Soil_Moisture_RWC75,Researcher,Notes,Stage_V,Shoot_Height,Shoot_Fw,Shoot_Dw,shoot_p_moisture,Researcher,Notes
Ct1_37,Corn,213,26,2,6/1/2016,1,15.5,42,SB/K,,3,24.9,2.46,0.33,0.134146341,K (M),
Ct1_38,Corn,213,26,2,6/1/2016,2,16,48,SB/K,,3,21.6,2.19,0.28,0.127853881,K (M),
Ct1_39,Corn,213,26,2,6/1/2016,3,15.8,48,SB/K,,3,26.5,3.28,0.4,0.12195122,K (M),
Ct1_40,Corn,213,26,2,6/1/2016,4,16,42,SB/K,,3,NA,2.11,0.29,0.137440758,K (M),
Ct1_41,Corn,213,26,2,6/1/2016,5,16,42,SB/K,,3,21.9,2.01,0.27,0.134328358,K (M),
Ct1_42,Corn,213,26,2,6/1/2016,6,16,41,SB/K,,3,19.6,3.05,0.19,0.062295082,K (M),
Ct1_43,Corn,221,10,2,6/1/2016,1,15.6,41,SB/K,,4,22.2,2.17,0.29,0.133640553,K (SB),
Ct1_44,Corn,221,10,2,6/1/2016,2,15.8,40,SB/K,,3,20.7,1.78,0.24,0.134831461,K (SB),
Ct1_45,Corn,221,10,2,6/1/2016,3,16,45,SB/K,,3,21.4,2.05,0.29,0.141463415,K (SB),
Ct1_46,Corn,221,10,2,6/1/2016,4,15.9,44,SB/K,,3,19.3,1.44,0.14,0.097222222,K (SB),
Ct1_47,Corn,221,10,2,6/1/2016,5,15.6,45,SB/K,,3,14.4,1.06,0.21,0.198113208,K (SB),
Ct1_48,Corn,221,10,2,6/1/2016,6,15.7,44,SB/K,,3,18.2,1.32,0.19,0.143939394,K (SB),
Ct1_49,Corn,223,30,2,6/1/2016,1,16,42,SB/K,,3,24,2.33,0.31,0.13304721,K (M),
Ct1_50,Corn,223,30,2,6/1/2016,2,16,42,SB/K,,3,20.7,2.07,0.29,0.140096618,K (M),
Ct1_51,Corn,223,30,2,6/1/2016,3,16,46,SB/K,,3,21.8,2.17,0.31,0.142857143,K (M),
Ct1_52,Corn,223,30,2,6/1/2016,4,16,45,SB/K,,3,23.5,2.34,0.33,0.141025641,K (M),
Ct1_53,Corn,223,30,2,6/1/2016,5,15.8,42,SB/K,,3,25,2.48,0.34,0.137096774,K (SB),
Ct1_54,Corn,223,30,2,6/1/2016,6,16,44,SB/K,,3,20.4,1.5,0.2,0.133333333,K (M),
Ct1_55,Corn,230,34,2,6/1/2016,1,15.4,44,SB/K,temp @11:30: 16.4,3,23.7,1.63,0.24,0.147239264,K (SB),
Ct1_56,Corn,230,34,2,6/1/2016,2,16,45,SB/K,,3,16.5,1.08,0.15,0.138888889,K (SB),
Ct1_57,Corn,230,34,2,6/1/2016,3,15.8,53,SB/K,,4,24.4,3.05,0.41,0.13442623,K (SB),
Ct1_58,Corn,230,34,2,6/1/2016,4,15.8,49,SB/K,,4,21.3,2.01,0.3,0.149253731,K (SB),
Ct1_59,Corn,230,34,2,6/1/2016,5,15.8,44,SB/K,,3,21.2,1.93,0.26,0.134715026,K (SB),
Ct1_60,Corn,230,34,2,6/1/2016,6,15.7,48,SB/K,,3,20.5,1.56,0.23,0.147435897,K (SB),
Ct1_61,Corn,302,10,3,6/1/2016,1,16.1,50,SB/K,,3,20.2,1.41,0.19,0.134751773,SN(M),
Ct1_62,Corn,302,10,3,6/1/2016,2,16.4,53,SB/K,,3,20.5,1.91,0.24,0.12565445,SN(M),
Ct1_63,Corn,302,10,3,6/1/2016,3,16.4,62,SB/K,,3,20,2.02,0.27,0.133663366,SN(M),
Ct1_64,Corn,302,10,3,6/1/2016,4,16.6,52,SB/K,,3,19.1,1.57,0.2,0.127388535,SN(M),
Ct1_65,Corn,302,10,3,6/1/2016,5,16.4,53,SB/K,,3,22.5,2.47,0.32,0.129554656,SN(M),
Ct1_66,Corn,302,10,3,6/1/2016,6,16,53,SB/K,,3,21.5,2.18,0.29,0.133027523,SN(M),
Ct1_67,Corn,310,34,3,6/1/2016,1,16.3,37,SB/K,too close to edge of plot,2,18.5,1.13,0.17,0.150442478,SN(M),smaller plant
Ct1_68,Corn,310,34,3,6/1/2016,2,16.3,33,SB/K,,3,19.5,1.58,0.22,0.139240506,SN(M),small plant
Ct1_69,Corn,310,34,3,6/1/2016,3,16.7,48,SB/K,,2,13.5,0.54,0.09,0.166666667,SN(M),very small
Ct1_70,Corn,310,34,3,6/1/2016,4,16.6,37,SB/K,,3,16,0.86,0.11,0.127906977,SN(M),small
Ct1_71,Corn,310,34,3,6/1/2016,5,16.6,40,SB/K,,3,19.6,1.05,0.12,0.114285714,SN(M),
Ct1_72,Corn,310,34,3,6/1/2016,6,16.5,37,SB/K,,3,18.8,1.06,0.15,0.141509434,SN(M),small
Ct1_73,Corn,314,26,3,6/1/2016,1,16.3,40,SB/K,,3,20.2,1.93,0.25,0.129533679,SN(M),
Ct1_74,Corn,314,26,3,6/1/2016,2,16.3,41,SB/K,,3,21.2,1.81,0.25,0.138121547,SN(M),close to v4
Ct1_75,Corn,314,26,3,6/1/2016,3,16.2,42,SB/K,,3,21,2.21,0.29,0.131221719,SN(M),
Ct1_76,Corn,314,26,3,6/1/2016,4,16.2,40,SB/K,,3,19.5,1.17,0.17,0.145299145,SN(M),
Ct1_77,Corn,314,26,3,6/1/2016,5,16.2,34,SB/K,,3,24.1,2.36,0.32,0.13559322,SN(M),
Ct1_78,Corn,314,26,3,6/1/2016,6,16,38,SB/K,,3,25.3,2.43,0.31,0.127572016,SN(M),
Ct1_79,Corn,328,30,3,6/1/2016,1,16,41,SB/K,,3,19.2,1.4,0.19,0.135714286,SN(M),
Ct1_80,Corn,328,30,3,6/1/2016,2,16,44,SB/K,,3,18.3,1.37,0.16,0.116788321,SN(M),
Ct1_81,Corn,328,30,3,6/1/2016,3,16,52,SB/K,,3,18.7,1.27,0.17,0.133858268,SN(M),
Ct1_82,Corn,328,30,3,6/1/2016,4,16.2,52,SB/K,,3,21.6,2.38,0.35,0.147058824,SN(M),
Ct1_83,Corn,328,30,3,6/1/2016,5,16,45,SB/K,,3,20.7,1.76,0.22,0.125,SN(M),
Ct1_84,Corn,328,30,3,6/1/2016,6,16,41,SB/K,,3,24.5,2.68,0.36,0.134328358,SN(M),
Ct1_85,Corn,336,18,3,6/1/2016,1,15.5,44,SB/K,,3,25,3.6,0.45,0.125,SN(M),
Ct1_86,Corn,336,18,3,6/1/2016,2,15.5,53,SB/K,,3,NA,3.76,0.52,0.138297872,SN(M),
Ct1_87,Corn,336,18,3,6/1/2016,3,15.1,53,SB/K,,3,24.4,2.98,0.34,0.11409396,SN(M),
Ct1_88,Corn,336,18,3,6/1/2016,4,16,46,SB/K,,3,28.8,3.72,0.5,0.134408602,SN(M),
Ct1_89,Corn,336,18,3,6/1/2016,5,15.5,54,SB/K,,4,30.1,5.54,0.67,0.120938628,SN(M),bigger plant
Ct1_90,Corn,336,18,3,6/1/2016,6,15.4,49,SB/K,,3,23.4,2.8,0.4,0.142857143,SN(M),
Ct1_91,Corn,402,30,4,6/1/2016,1,16.6,53,SN/M,,3,21.3,1.49,0.22,0.147651007,SB(M),
Ct1_92,Corn,402,30,4,6/1/2016,2,17,54,SN/M,,3,22.4,1.62,0.22,0.135802469,SB(M),
Ct1_93,Corn,402,30,4,6/1/2016,3,17,58,SN/M,,3,21.8,2.26,0.31,0.137168142,SB(M),
Ct1_94,Corn,402,30,4,6/1/2016,4,17.2,50,SN/M,,3,16,1.02,0.15,0.147058824,SB(M),
Ct1_95,Corn,402,30,4,6/1/2016,5,17.1,52,SN/M,,3,15.2,1.05,0.13,0.123809524,SB(M),
Ct1_96,Corn,402,30,4,6/1/2016,6,17,42,SN/M,,3,21.5,1.61,0.19,0.118012422,SB(M),
Ct1_97,Corn,407,10,4,6/1/2016,1,17.3,48,SN/M,,3,19,1.36,0.2,0.147058824,SB(M),
Ct1_98,Corn,407,10,4,6/1/2016,2,17.4,44,SN/M,,4,21.5,2.24,0.3,0.133928571,SB(M),
Ct1_99,Corn,407,10,4,6/1/2016,3,18.4,49,SN/M,,3,19.5,1.82,0.25,0.137362637,SB,
Ct1_100,Corn,407,10,4,6/1/2016,4,17,44,SN/M,,3,23.5,2.57,0.33,0.128404669,SB(M),
Ct1_101,Corn,407,10,4,6/1/2016,5,17,44,SN/M,,3,22.5,2.02,0.24,0.118811881,SB(M),
Ct1_102,Corn,407,10,4,6/1/2016,6,17.4,48,SN/M,,3,24.3,2.83,0.38,0.134275618,SB(M),
Ct1_103,Corn,426,26,4,6/1/2016,1,17.3,46,SN/M,,3,27,2.46,0.34,0.138211382,SB(M),
Ct1_104,Corn,426,26,4,6/1/2016,2,17.5,48,SN/M,,3,22.6,2.44,0.34,0.139344262,SB(M),
Ct1_105,Corn,426,26,4,6/1/2016,3,17.6,56,SN/M,,3,23.5,2.48,0.34,0.137096774,SB(M),
Ct1_106,Corn,426,26,4,6/1/2016,4,17.4,50,SN/M,,3,23,2.14,0.32,0.14953271,SN(M),
Ct1_107,Corn,426,26,4,6/1/2016,5,17.5,48,SN/M,,3,19,1.42,0.2,0.14084507,SB(M),
Ct1_108,Corn,426,26,4,6/1/2016,6,17,49,SN/M,,3,21,2.23,0.29,0.130044843,SN(M),
Ct1_109,Corn,427,34,4,6/1/2016,1,17,45,SN/M,,3,20,1.51,0.2,0.132450331,SB(M),
Ct1_110,Corn,427,34,4,6/1/2016,2,17,42,SN/M,,3,17.7,1.02,0.13,0.12745098,SB(M),
Ct1_111,Corn,427,34,4,6/1/2016,3,17,52,SN/M,,3,16.6,0.97,0.15,0.154639175,SB(M),
Ct1_112,Corn,427,34,4,6/1/2016,4,17,48,SN/M,,3,19.5,1.78,0.26,0.146067416,SB(M),
Ct1_113,Corn,427,34,4,6/1/2016,5,16.7,49,SN/M,,3,20.5,1.74,0.25,0.143678161,SB,
Ct1_114,Corn,427,34,4,6/1/2016,6,16.7,46,SN/M,,3,24,2.07,0.32,0.154589372,SB,
Ct1_115,Corn,430,18,4,6/1/2016,1,17,50,SN/M,,3,20.5,1.77,0.24,0.13559322,SB(M),
Ct1_116,Corn,430,18,4,6/1/2016,2,17.2,53,SN/M,,3,22,2,0.3,0.15,SB,
Ct1_117,Corn,430,18,4,6/1/2016,3,16.7,60,SN/M,,3,15.4,0.95,0.15,0.157894737,SB,
Ct1_118,Corn,430,18,4,6/1/2016,4,17,48,SN/M,,3,23.1,2.11,0.28,0.132701422,SB(M),
Ct1_119,Corn,430,18,4,6/1/2016,5,17.4,41,SN/M,,3,NA,1.83,0.26,0.142076503,SB(M),
Ct1_120,Corn,430,18,4,6/1/2016,6,17.4,50,SN/M,,3,24,2.18,0.34,0.155963303,SB(M),
