"OTU_ID","taxonomy","Taxon","Taxon Level","Trophic Mode","Guild","Growth Morphology","Trait","Confidence Ranking"
"ASV_1037",";Clitopilus;NA","Clitopilus","13","Saprotroph","Undefined Saprotroph","Agaricoid","NULL","Probable"
"ASV_1038",";Funneliformis;mosseae","Funneliformis","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1041",";Coniochaeta;NA","Coniochaeta","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible"
"ASV_1045",";Psathyrella;candolleana","Psathyrella","13","Saprotroph","Wood Saprotroph","Agaricoid","NULL","Probable"
"ASV_105",";Glomus;indicum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1050",";Occultifur;NA","Occultifur","13","Pathotroph-Saprotroph","Fungal Parasite-Litter Saprotroph-Undefined Saprotroph","Yeast","NULL","Probable"
"ASV_1051",";Articulospora;proliferata","Articulospora","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1053",";Alternaria;metachromatica","Alternaria","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph","Microfungus","Soft Rot","Possible"
"ASV_1054",";Glomus;macrocarpum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1057",";Thanatephorus;cucumeris","Thanatephorus","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_1058",";Zopfiella;NA","Zopfiella","13","Saprotroph","Dung Saprotroph","NULL","NULL","Highly Probable"
"ASV_106",";Microdochium;NA","Microdochium","13","Pathotroph-Symbiotroph","Endophyte-Plant Pathogen","Dark Septate Endophyte","NULL","Possible"
"ASV_1060",";Auricularia;NA","Auricularia","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1062",";Endogone;NA","Endogone","13","Symbiotroph","Ectomycorrhizal","Gasteroid","Hypogeous","Probable"
"ASV_1063",";Glomus;NA","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1064",";Claroideoglomus;claroideum","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1065",";Phaeosphaeria;lunariae","Phaeosphaeria","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1068",";Glomus;macrocarpum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1071",";Acremonium;persicinum","Acremonium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Microfungus","Soft Rot","Possible"
"ASV_1075",";Crocicreas;NA","Crocicreas","13","Saprotroph","Undefined Saprotroph","Pezizoid","NULL","Probable"
"ASV_1077",";Didymella;glomerata","Didymella","13","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1079",";Glomus;compressum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1080",";Septoglomus;viscosum","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1083",";Idriella;NA","Idriella","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1084",";Sakaguchia;NA","Sakaguchia","13","Saprotroph","Undefined Saprotroph","Yeast","NULL","Probable"
"ASV_1085",";Septoglomus;NA","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1086",";Ampelomyces;quisqualis","Ampelomyces","13","Saprotroph-Symbiotroph","Endophyte-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1089",";Olpidium;brassicae","Olpidium","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_1090",";Glomus;macrocarpum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1092",";Glomus;aggregatum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1094",";Acremonium;polychromum","Acremonium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Microfungus","Soft Rot","Possible"
"ASV_1095",";Auricularia;NA","Auricularia","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1096",";Acaulospora;spinosa","Acaulospora","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1098",";Septoglomus;viscosum","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_11",";Exophiala;pisciphila","Exophiala","13","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","Facultative Yeast","NULL","Probable"
"ASV_1101",";Glomus;indicum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1104",";Herpotrichia;australis","Herpotrichia","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1109",";Gigaspora;rosea","Gigaspora","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_111",";Septoglomus;viscosum","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1111",";Veronaea;japonica","Veronaea","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_1112",";Claroideoglomus;claroideum","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1113",";Pseudogymnoascus;NA","Pseudogymnoascus","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Soil Saprotroph","NULL","NULL","Possible"
"ASV_1114",";Glomus;macrocarpum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1116",";Glomus;macrocarpum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1118",";Rhizophagus;irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1119",";Mortierella;paraensis","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1123",";Gigaspora;rosea","Gigaspora","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1126",";Gibberella;NA","Gibberella","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_1129",";Lycoperdon;pratense","Lycoperdon","13","Saprotroph","Undefined Saprotroph","Gasteroid","NULL","Probable"
"ASV_113",";Lasionectria;oenanthicola","Lasionectria","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1131",";Cadophora;NA","Cadophora","13","Symbiotroph","Endophyte","Microfungus","NULL","Highly Probable"
"ASV_1133",";Coniochaeta;canina","Coniochaeta","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible"
"ASV_1134",";Septoglomus;NA","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1135",";Glomus;NA","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1137",";Glomus;indicum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1138",";Myrmecridium;phragmitis","Myrmecridium","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_114",";Arthrobotrys;NA","Arthrobotrys","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1140",";Clitopilus;NA","Clitopilus","13","Saprotroph","Undefined Saprotroph","Agaricoid","NULL","Probable"
"ASV_1141",";Glomus;NA","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1143",";Talaromyces;trachyspermus","Talaromyces","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1145",";Metarhizium;marquandii","Metarhizium","13","Pathotroph","Animal Pathogen","NULL","NULL","Probable"
"ASV_1148",";Sistotrema;adnatum","Sistotrema","13","Saprotroph-Symbiotroph","Ectomycorrhizal-Wood Saprotroph","Corticioid","White Rot","Possible"
"ASV_1149",";Orbilia;serpentina","Orbilia","13","Saprotroph","Wood Saprotroph","Microfungus","NULL","Probable"
"ASV_1150",";Exophiala;bonariae","Exophiala","13","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","Facultative Yeast","NULL","Probable"
"ASV_1157",";Knufia;NA","Knufia","13","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Possible"
"ASV_1158",";Glomus;macrocarpum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1160",";Thanatephorus;cucumeris","Thanatephorus","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_1161",";Fusarium;solani","Fusarium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph","Microfungus","NULL","Possible"
"ASV_1163",";Rhizophagus;irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1164",";Penicillium;NA","Penicillium","13","Saprotroph","Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph","NULL","Mold, Soft Rot","Highly Probable"
"ASV_1165",";Cistella;NA","Cistella","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1167",";Phaeosphaeria;NA","Phaeosphaeria","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_117",";Plectosphaerella;cucumerina","Plectosphaerella","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_1170",";Stropharia;ambigua","Stropharia","13","Saprotroph","Dung Saprotroph-Plant Parasite-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph","Agaricoid","NULL","Probable"
"ASV_1173",";Thanatephorus;cucumeris","Thanatephorus","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_1174",";Coprinopsis;friesii","Coprinopsis","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1181",";Orbilia;NA","Orbilia","13","Saprotroph","Wood Saprotroph","Microfungus","NULL","Probable"
"ASV_1185",";Lachnum;virgineum","Lachnum","13","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1187",";Schizothecium;glutinans","Schizothecium","13","Saprotroph","Dung Saprotroph","NULL","NULL","Highly Probable"
"ASV_1191",";Mortierella;NA","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1201",";Glomus;NA","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1202",";Apodus;deciduus","Apodus","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1205",";Glomus;NA","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1206",";Mortierella;beljakovae","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1209",";Chaetomium;subspirilliferum","Chaetomium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph","Microfungus","Soft Rot","Possible"
"ASV_121",";Rhizophagus;irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1211",";Myrmecridium;NA","Myrmecridium","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1212",";Glomus;macrocarpum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1217",";Mucor;circinelloides","Mucor","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1218",";Achroiostachys;betulicola","Achroiostachys","13","Saprotroph","Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Possible"
"ASV_1219",";Rhizophagus;irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1220",";Septoglomus;constrictum","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1221",";Rhizophagus;irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1222",";Veronaea;japonica","Veronaea","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_1223",";Fusarium;concentricum","Fusarium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph","Microfungus","NULL","Possible"
"ASV_1224",";Fusarium;armeniacum","Fusarium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph","Microfungus","NULL","Possible"
"ASV_1226",";Auricularia;NA","Auricularia","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1227",";Acremonium;persicinum","Acremonium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Microfungus","Soft Rot","Possible"
"ASV_1228",";Orbilia;NA","Orbilia","13","Saprotroph","Wood Saprotroph","Microfungus","NULL","Probable"
"ASV_1237",";Septoglomus;NA","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1239",";Colletotrichum;NA","Colletotrichum","13","Pathotroph-Symbiotroph","Endophyte-Plant Pathogen","Microfungus","NULL","Probable"
"ASV_1240",";Mortierella;NA","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1241",";Mortierella;alpina","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1242",";Glomus;aggregatum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1243",";Coprinellus;silvaticus","Coprinellus","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1244",";Aspergillus;NA","Aspergillus","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Plant Saprotroph-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph","Microfungus","NULL","Probable"
"ASV_1245",";Septoglomus;viscosum","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1248",";Cistella;NA","Cistella","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1249",";Flagelloscypha;NA","Flagelloscypha","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1251",";Glomus;NA","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1253",";Purpureocillium;lilacinum","Purpureocillium","13","Pathotroph","Fungal Parasite","NULL","NULL","Probable"
"ASV_1256",";Septoglomus;viscosum","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_126",";Staphylotrichum;NA","Staphylotrichum","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1265",";Glomus;tetrastratosum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1267",";Mortierella;NA","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_127",";Mortierella;alpina","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1271",";Rhizophlyctis;rosea","Rhizophlyctis","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1275",";Endogone;NA","Endogone","13","Symbiotroph","Ectomycorrhizal","Gasteroid","Hypogeous","Probable"
"ASV_1276",";Scytalidium;NA","Scytalidium","13","Saprotroph","Wood Saprotroph","NULL","Soft Rot","Probable"
"ASV_1277",";Diaporthe;angelicae","Diaporthe","13","Pathotroph-Symbiotroph","Endophyte-Plant Pathogen","Microfungus","NULL","Possible"
"ASV_1278",";Septoglomus;viscosum","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1281",";Phaeosphaeria;NA","Phaeosphaeria","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1284",";Rhizophagus;irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1286",";Crocicreas;NA","Crocicreas","13","Saprotroph","Undefined Saprotroph","Pezizoid","NULL","Probable"
"ASV_1287",";Dactylaria;mitrata","Dactylaria","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_129",";Lachnum;NA","Lachnum","13","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1290",";Diversispora;NA","Diversispora","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1291",";Daldinia;NA","Daldinia","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1292",";Conocybe;NA","Conocybe","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1296",";Sarocladium;NA","Sarocladium","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1298",";Laetisaria;fuciformis","Laetisaria","13","Pathotroph","Plant Pathogen","Corticioid","NULL","Probable"
"ASV_1299",";Phallus;rugulosus","Phallus","13","Saprotroph","Litter Saprotroph-Soil Saprotroph-Wood Saprotroph","Phalloid","White Rot","Probable"
"ASV_13",";Clonostachys;rosea","Clonostachys","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_130",";Olpidium;brassicae","Olpidium","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_1301",";Chaetomium;subspirilliferum","Chaetomium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph","Microfungus","Soft Rot","Possible"
"ASV_1306",";Metacordyceps;chlamydosporia","Metacordyceps","13","Pathotroph","Animal Pathogen","NULL","NULL","Probable"
"ASV_1309",";Cadophora;NA","Cadophora","13","Symbiotroph","Endophyte","Microfungus","NULL","Highly Probable"
"ASV_131",";Auricularia;NA","Auricularia","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1311",";Orbilia;NA","Orbilia","13","Saprotroph","Wood Saprotroph","Microfungus","NULL","Probable"
"ASV_1312",";Trichoderma;spirale","Trichoderma","13","Pathotroph-Saprotroph-Symbiotroph","Endophyte-Epiphyt-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Microfungus","NULL","Possible"
"ASV_1313",";Glomus;macrocarpum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1315",";Spizellomyces;NA","Spizellomyces","13","Pathotroph-Saprotroph","Plant Pathogen-Undefined Parasite-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1317",";Corymbiglomus;corymbiforme","Corymbiglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Probable"
"ASV_1318",";Glomus;indicum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1319",";Trichoderma;NA","Trichoderma","13","Pathotroph-Saprotroph-Symbiotroph","Endophyte-Epiphyt-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Microfungus","NULL","Possible"
"ASV_1322",";Tubeufia;helicomyces","Tubeufia","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1324",";Orbilia;NA","Orbilia","13","Saprotroph","Wood Saprotroph","Microfungus","NULL","Probable"
"ASV_1325",";Rhizophagus;irregularis","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1328",";Chaetomium;angustispirale","Chaetomium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph","Microfungus","Soft Rot","Possible"
"ASV_133",";Marasmius;apatelius","Marasmius","13","Pathotroph-Saprotroph-Symbiotroph","Endophyte-Plant Pathogen-Undefined Saprotroph","Agaricoid","NULL","Probable"
"ASV_1335",";Didymella;NA","Didymella","13","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1336",";Mortierella;NA","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1337",";Arachnotheca;glomerata","Arachnotheca","13","Saprotroph","Dung Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Highly Probable"
"ASV_1341",";Mortierella;fimbricystis","Mortierella","13","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Probable"
"ASV_1345",";Pyrenochaeta;NA","Pyrenochaeta","13","Saprotroph","Undefined Saprotroph-Wood Saprotroph","NULL","Soft Rot","Highly Probable"
"ASV_1346",";Neosetophoma;NA","Neosetophoma","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1347",";Claroideoglomus;NA","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1352",";Conocybe;NA","Conocybe","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1354",";Articulospora;proliferata","Articulospora","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1357",";Aspergillus;flavus","Aspergillus","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Plant Saprotroph-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph","Microfungus","NULL","Probable"
"ASV_1365",";Gigaspora;NA","Gigaspora","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1366",";Glomus;macrocarpum","Glomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
"ASV_1368",";Tetracladium;apiense","Tetracladium","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1370",";Ceratobasidium;NA","Ceratobasidium","13","Pathotroph-Saprotroph-Symbiotroph","Endomycorrhizal-Plant Pathogen-Undefined Saprotroph","Corticioid-Microfungus","NULL","Possible"
"ASV_1372",";Auricularia;NA","Auricularia","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1376",";Cirrenalia;NA","Cirrenalia","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1378",";Typhula;trifolii","Typhula","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable"
"ASV_1381",";Psathyrella;candolleana","Psathyrella","13","Saprotroph","Wood Saprotroph","Agaricoid","NULL","Probable"
"ASV_1382",";Ramicandelaber;NA","Ramicandelaber","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1387",";Hymenoscyphus;NA","Hymenoscyphus","13","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Ectomycorrhizal-Ericoid Mycorrhizal-Undefined Saprotroph","Microfungus; Dark Septate Microfungus","NULL","Possible"
"ASV_1389",";Ophiosphaerella;NA","Ophiosphaerella","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable"
"ASV_1390",";Funneliformis;mosseae","Funneliformis","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable"
