"CROP","PLOT","REP","YEAR","SAMPLING","TEMPERATURE","VMOISTURE","SHOOT_HEIGHT","SHOOT_MOISTURE","TEMPERATURE_VAR","VMOISTURE_VAR","SHOOT_HEIGHT_VAR","SHOOT_MOISTURE_VAR","NODULATION"
"soy","220","R2","2016","flowering",23.86111111,16.25,NA,0.742854939700609,0.00102880674897127,0.623333333333332,NA,0.00010318420787223,1
"soy","227","R2","2016","flowering",24.3333333325,17.75,NA,0.745097341288588,0.00617283975308653,4.48333333333333,NA,0.000417452561249264,1
"soy","231","R2","2016","flowering",24.8611111125,17.775,NA,0.755439421659419,0.103909464053498,8.78916666666667,NA,7.67482326244118e-05,1
"soy","235","R2","2016","flowering",24.7777777775,14.5,NA,0.76234480427931,0.242798351646092,11.7666666666667,NA,1.62763678146341e-05,1
"soy","301","R3","2016","flowering",25.4583333325,20.925,NA,0.751731846088246,0.274434156491771,1.10916666666667,NA,3.46096698115345e-05,1
"soy","321","R3","2016","flowering",26.791666665,14.25,NA,0.717146996216458,1.17155349298354,0.916666666666666,NA,0.00143891399566911,1
"soy","330","R3","2016","flowering",26.7083333325,16.175,NA,0.715218226216274,0.303240738981481,6.57583333333333,NA,0.00747918900867873,1
"soy","332","R3","2016","flowering",26.680555555,20.025,NA,0.740842130640846,0.255915637139917,16.9691666666667,NA,0.000106851889443144,1
"soy","333","R3","2016","flowering",27.1527777775,19.025,NA,0.745647353087798,0.210648147314815,1.87583333333333,NA,4.85552478349621e-05,1
"soy","409","R4","2016","flowering",25.4166666675,NA,NA,0.760729000164103,0.027777777222222,NA,NA,6.4119290003402e-05,1
"soy","419","R4","2016","flowering",25.3611111125,NA,NA,0.753989317580631,0.301440327263374,NA,NA,0.000184836685329528,1
"soy","421","R4","2016","flowering",25.7777777775,NA,NA,0.753933690265856,0.199588478189301,NA,NA,1.48340443269125e-05,0.5
"soy","422","R4","2016","flowering",26,NA,NA,0.743533387073879,0.401234568395062,NA,NA,5.69803689631199e-05,1
"soy","434","R4","2016","flowering",25.6527777775,NA,NA,0.749709869404259,0.0398662540226342,NA,NA,0.000142721299518752,1
