SampleID	Year	Plot	CurrentCrop	Sampling	Treatment	Rot	Rotation	Rep	Previous crop	Years	Type	Stand_plot_1	Stage_V2	dw_plot	av_dw	Stage_3	Stage_4	P	K	S	Ca	Mg	Zn	Mn	B	Cu	Fe	N	C	C_N	0_10_TN	0_10_TC	0_10_NO3N	0_10_BrayP	10_30_TN	10_30_TC	10_30_NO3N	10_30_BrayP	0_10_K	10_30_K	CropYield
corn_t2_323_V4_S44	2017	323	corn	flowering	R25	G	CSSwP	R3	Pea	Four	B	NA	NA	1571.7	78.25	4	4	0.17	0.65	0.12	0.55	0.48	26.49	54.53	5.45	5.65	92.41	1.667	45.476	27.28014397	0.17207	1.9993	3.9	10	0.14723	1.5648	2	4	112	88	10111.56478
corn_t2_330_V4_S45	2017	330	corn	flowering	R29	H	COWS	R3	Soy	Four	A	NA	NA	1647.6	76	4	2	0.21	0.53	0.12	0.49	0.52	38.74	50.44	5.45	6.72	67.68	1.9204	45.109	23.48937721	0.17853	1.998	4.4	7	0.12982	1.3305	2.8	3	123	107	9857.055656
corn_t2_332_V4_S55	2017	332	corn	flowering	R33	I	CSCS	R3	Soy	Two	C	NA	NA	1373	59.75	4	0	0.22	0.52	0.13	0.53	0.53	30.61	51.76	6.09	6.82	78.01	1.9657	45.232	23.01063234	0.18014	1.957	4.7	5	0.10317	1.0602	3.5	2	111	105	7669.786456
corn_t2_333_V4_S56	2017	333	corn	flowering	R9	C	CPWS	R3	Soy	Four	A	NA	NA	1666.6	80	4	2	0.18	0.61	0.11	0.47	0.45	27.31	51.41	5.24	6.29	77.62	1.6955	45.351	26.74786199	0.17658	1.8965	3.5	14	0.12093	1.1793	2.5	3	117	111	9578.329894
corn_t2_337_V4_S57	2017	337	corn	flowering	R17	E	CSSwSf	R3	Sunflower	Four	B	NA	NA	1549.5	70.75	4	0	0.19	0.67	0.11	0.53	0.53	32.6	46.94	5.32	5.45	64.43	1.6785	45.441	27.07238606	0.18518	1.9973	2.4	5	0.12976	1.3017	1.9	2	123	110	8417.968807
corn_t2_406_V4_S67	2017	406	corn	flowering	R17	E	CSSwSf	R4	Sunflower	Four	B	NA	NA	1511.4	66.25	2	0	0.24	0.57	0.12	0.53	0.6	29.62	65.31	6.03	5.64	125.78	1.8821	45.179	24.00456936	0.15949	1.7209	4.4	5	0.09848	0.96025	1.6	3	122	98	9006.362812
corn_t2_409_V4_S68	2017	409	corn	flowering	R29	H	COWS	R4	Soy	Four	A	NA	NA	2165.3	105.5	4	4	0.2	0.48	0.1	0.46	0.42	27.74	51.11	4.88	3.96	80.61	1.3697	45.541	33.24888662	0.1466	1.6047	3.6	7	0.11435	1.1663	3.3	3	103	93	9769.022403
corn_t2_411_V4_S69	2017	411	corn	flowering	R25	G	CSSwP	R4	Pea	Four	B	NA	NA	2107.4	104.75	4	4	0.19	0.67	0.11	0.5	0.42	28.07	60.63	4.94	5.07	86.94	1.5912	45.476	28.57968829	0.14094	1.519	3.1	5	0.09659	0.95402	3.4	2	101	98	10063.73556
corn_t2_421_V4_S79	2017	421	corn	flowering	R9	C	CPWS	R4	Soy	Four	A	NA	NA	1727	83.75	4	1	0.2	0.6	0.14	0.51	0.48	26.76	48.5	6.63	6.45	68.43	1.9202	45.613	23.75429643	0.1593	1.7444	3.6	7	0.11934	1.2514	3	3	105	100	8825.303765
corn_t2_434_V4_S80	2017	434	corn	flowering	R33	I	CSCS	R4	Soy	Two	C	NA	NA	1144.1	43.75	4	0	0.25	0.57	0.16	0.65	0.64	31.21	61.23	7.74	7.35	100.36	2.2231	44.703	20.10840718	0.19306	2.226	4.6	5	0.15055	1.6167	3.6	3	124	104	6655.568188
soy_t2_113_V4_S10	2017	113	soy	flowering	R34	I	CSCS	R1	corn	Two	C	NA	NA	19.21	4.8025	1	2	0.31	0.66	0.22	2.45	1.55	47.98	94.82	49.75	9.72	280.9	4.2652	45.239	10.60653662	0.19135	2.1657	1.6	4	0.15184	1.681	1.2	3	112	95	3887.99509
soy_t2_117_V4_S11	2017	117	soy	flowering	R12	C	CPWS	R1	winter wheat	Four	A	NA	NA	33.61	8.4025	3	4	0.25	1.17	0.2	2.19	1.1	44.18	74.3	38.45	10.02	145.2	3.8218	45.683	11.95326809	0.20591	2.3533	3.3	6	0.16354	1.7822	1	3	105	104	5623.166363
soy_t2_118_V4_S12	2017	118	soy	flowering	R26	G	CSSwP	R1	corn	Four	B	NA	NA	21.726	5.4315	2	1	0.3	0.8	0.2	2.36	1.43	48.86	81.5	42.29	9.91	203.07	4.0645	45.486	11.19104441	0.1954	2.2323	1.5	7	0.15071	1.6773	0.8	3	113	122	5208.552559
soy_t2_124_V4_S22	2017	124	soy	flowering	R18	E	CSSwSf	R1	corn	Four	B	NA	NA	19.03	4.7575	1	3	0.35	0.99	0.2	2.27	1.14	51.37	76.55	41.55	10.75	147.3	4.2056	45.413	10.79822142	0.17541	1.9311	2.2	4	0.12096	1.2698	1	2	116	116	3596.249586
soy_t2_129_V4_S23	2017	129	soy	flowering	R32	H	COWS	R1	winter wheat	Four	A	NA	NA	29.06	7.265	4	2	0.29	1	0.2	2.22	1.22	52.69	87.41	39.76	10.39	204.12	3.9547	45.382	11.47545958	0.20274	2.3256	3	7	0.15199	1.6198	1.5	3	132	114	5364.467708
soy_t2_205_V4_S24	2017	205	soy	flowering	R18	E	CSSwSf	R2	corn	Four	B	NA	NA	20.31	5.0775	0	2	0.34	0.76	0.17	2.07	1.28	63.82	67.74	42.04	9.76	174.59	3.8692	45.041	11.64090768	0.15784	1.7061	2.7	11	0.14598	1.5014	1.3	3	100	94	3637.323295
soy_t2_213_V4_S34	2017	213	soy	flowering	R26	G	CSSwP	R2	corn	Four	B	NA	NA	18.58	4.645	2	0	0.31	0.68	0.23	1.93	1.31	47.67	79.47	46.74	9.64	214.8	4.145	45.499	10.97683957	0.15573	1.7427	1.8	4	0.11724	1.2206	1.1	3	102	98	3750.259457
soy_t2_222_V4_S35	2017	222	soy	flowering	R12	C	CPWS	R2	winter wheat	Four	A	NA	NA	23.77	5.9425	1	4	0.25	0.85	0.19	2.15	1.19	44.49	78.68	40.85	9.24	140.7	3.7164	45.492	12.24087827	0.16165	1.8125	2.6	12	0.13961	1.4753	1.3	3	118	112	4389.797358
soy_t2_230_V4_S36	2017	230	soy	flowering	R34	I	CSCS	R2	corn	Two	C	NA	NA	20.72	5.18	2	1	0.32	0.66	0.21	1.93	1.33	54.92	83.23	49.5	9.97	283.37	3.8667	45.494	11.76558823	0.17739	2.065	1.7	6	0.12955	1.3373	1.1	2	122	106	3540.26885
soy_t2_232_V4_S46	2017	232	soy	flowering	R32	H	COWS	R2	winter wheat	Four	A	NA	NA	30.36	7.59	3	4	0.28	1.09	0.19	2.22	1.06	43.75	71.41	38.99	8.71	109.57	3.8553	45.376	11.76977148	0.20224	2.3308	1.7	11	0.13284	1.3484	1.1	3	134	115	4649.036283
soy_t2_303_V4_S47	2017	303	soy	flowering	R32	H	COWS	R3	winter wheat	Four	A	NA	NA	38.91	9.7275	4	4	0.21	1.06	0.18	2.2	1.13	43.17	75.51	33.03	10.23	145.53	3.3897	45.438	13.40472608	0.19235	2.2103	1.6	7	0.13881	1.4559	1.4	3	138	91	4859.80532
soy_t2_310_V4_S48	2017	310	soy	flowering	R34	I	CSCS	R3	corn	Two	C	NA	NA	16.87	4.2175	3	0	0.28	0.47	0.18	1.29	0.92	48.83	72.57	44.76	8.28	143.08	4.0578	45.754	11.27556804	0.12687	1.3624	2.6	4	0.09388	0.88308	1.5	3	89	72	2624.946548
soy_t2_312_V4_S58	2017	312	soy	flowering	R12	C	CPWS	R3	winter wheat	Four	A	NA	NA	23.73	5.9325	3	4	0.26	1.11	0.15	2.21	1.02	38.91	61.11	35.21	8.04	121.13	3.6282	45.246	12.4706466	0.12441	1.3864	1.8	4	0.08195	0.73465	0.9	2	104	79	3913.442884
soy_t2_314_V4_S59	2017	314	soy	flowering	R26	G	CSSwP	R3	corn	Four	B	NA	NA	18.84	4.71	2	0	0.27	0.75	0.18	2.28	1.57	62.2	108.64	48.23	8.69	282.7	3.8153	44.309	11.61350353	0.12871	1.4384	1.1	7	0.10352	1.0654	1	3	110	83	3263.262778
soy_t2_336_V4_S60	2017	336	soy	flowering	R18	E	CSSwSf	R3	corn	Four	B	NA	NA	18.23	4.5575	0	2	0.28	1.07	0.22	1.93	1.23	48.59	69.26	44.26	10.72	162.95	4.1224	45.619	11.06612653	0.19904	2.2324	2.4	7	0.15635	1.6351	1.3	3	155	102	4213.687158
soy_t2_408_V4_S70	2017	408	soy	flowering	R12	C	CPWS	R4	winter wheat	Four	A	NA	NA	24.29	6.0725	0	4	0.23	1.1	0.15	2.12	0.96	40.12	64.93	34.15	7.95	104.06	3.5186	45.386	12.89888024	0.15596	1.67	2.5	5	0.10321	1.0388	2.7	3	116	94	4191.167845
soy_t2_423_V4_S71	2017	423	soy	flowering	R32	H	COWS	R4	winter wheat	Four	A	NA	NA	25.66	6.415	3	3	0.29	1.57	0.2	1.6	0.67	40.23	66.55	33.32	9.93	99.3	4.2137	45.681	10.84106605	0.19053	2.1721	2.3	11	0.14038	1.4757	1.3	3	111	97	4802.852099
soy_t2_426_V4_S72	2017	426	soy	flowering	R26	G	CSSwP	R4	corn	Four	B	NA	NA	19.69	4.9225	2	1	0.25	0.61	0.19	2.02	1.31	48.03	76.66	44.8	8.5	169.99	3.9348	45.467	11.5550981	0.18392	2.1359	1.6	4	0.13379	1.4324	1.4	2	127	103	3315.413114
soy_t2_427_V4_S82	2017	427	soy	flowering	R34	I	CSCS	R4	corn	Two	C	NA	NA	14.82	3.705	0	1	0.24	0.58	0.17	1.47	1.02	46.12	53.08	36.16	9.02	170.38	3.7059	45.915	12.38970291	0.17885	1.966	1.5	6	0.1203	1.2058	1.5	2	115	93	3075.698865
soy_t2_430_V4_S83	2017	430	soy	flowering	R18	E	CSSwSf	R4	corn	Four	B	NA	NA	17.31	4.3275	1	3	0.26	0.59	0.15	1.55	0.94	33.42	50.27	32.91	9.62	116.52	3.58	45.987	12.84553073	0.18008	2.0985	2.1	5	0.1375	1.4255	1.4	3	130	108	3248.909252
corn_t1_104_V4_S1	2017	104	corn	seedling	R29	H	COWS	R1	Soy	Four	A	4	6	5.04	0.123	NA	NA	0.51	1.65	0.31	1.18	0.86	38.64	131.9	4.66	9.46	1295.12	5.117	40.094	7.835450459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_123_V4_S2	2017	123	corn	seedling	R9	C	CPWS	R1	Soy	Four	A	6	6	5.42	0.138	NA	NA	0.52	1.46	0.34	1.2	0.81	41.73	96.54	5.64	10.1	942.28	5.1246	38.683	7.54849159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_131_V4_S13	2017	131	corn	seedling	R25	G	CSSwP	R1	Pea	Four	B	8	6	6.43	0.148	NA	NA	0.49	2.13	0.36	1.35	0.83	43.32	105.97	6.35	8.78	1202.59	5.0749	38.873	7.659855367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_133_V4_S14	2017	133	corn	seedling	R33	I	CSCS	R1	Soy	Two	C	2	5	3.28	0.082	NA	NA	0.63	0.48	0.61	2.77	0.83	187.5	225.88	9.26	36.09	1977.83	5.4101	39.776	7.352174636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_136_V4_S25	2017	136	corn	seedling	R17	E	CSSwSf	R1	Sunflower	Four	B	2	6	4.13	0.097	NA	NA	0.6	1.44	0.34	1.35	0.83	57.92	106.74	2.52	10.65	791.4	5.2913	41.457	7.834936594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_207_V4_S26	2017	207	corn	seedling	R29	H	COWS	R2	Soy	Four	A	4	6	4.54	0.117	NA	NA	0.55	1.21	0.32	1.18	0.84	67.88	150.09	2.97	9.19	1507.1	4.7303	34.796	7.35598165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_209_V4_S31	2017	209	corn	seedling	R17	E	CSSwSf	R2	Sunflower	Four	B	1	4	4.19	0.098	NA	NA	0.58	1.16	0.32	1.21	0.84	67.29	123.19	6.29	10.43	1144.29	5.3009	40.864	7.708879624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_217_V4_S38	2017	217	corn	seedling	R25	G	CSSwP	R2	Pea	Four	B	9	5	6.38	0.143	NA	NA	0.39	2.21	0.36	1.34	0.8	48.11	120.24	5.34	6.66	1179.62	4.8006	39.379	8.202932967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_220_V4_S49	2017	220	corn	seedling	R33	I	CSCS	R2	Soy	Two	C	9	6	4.09	0.095	NA	NA	0.53	1.26	0.33	1.4	0.89	94.07	120.03	3.6	11.38	1437.95	5.0227	37.967	7.559081769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_235_V4_S50	2017	235	corn	seedling	R9	C	CPWS	R2	Soy	Four	A	4	6	4.44	0.105	NA	NA	0.51	1.42	0.33	1.28	0.79	115.4	135.91	5.29	11.38	1752.11	4.9764	36.775	7.389880235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_323_V4_S61	2017	323	corn	seedling	R25	G	CSSwP	R3	Pea	Four	B	10	6	6.06	0.147	NA	NA	0.44	1.88	0.34	1.29	0.79	55.01	119.29	5.91	7.38	1259.91	5.02	37.739	7.517729084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_330_V4_S62	2017	330	corn	seedling	R29	H	COWS	R3	Soy	Four	A	7	6	5.51	0.147	NA	NA	0.49	1.39	0.3	1.17	0.77	71.75	166.08	6.37	8.7	2063.93	4.6396	34.899	7.521984654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_332_V4_S73	2017	332	corn	seedling	R33	I	CSCS	R3	Soy	Two	C	3	6	3.59	0.093	NA	NA	0.58	0.93	0.37	1.19	0.81	64.31	156.73	5.13	11.57	1782.55	5.3007	38.895	7.337710114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_333_V4_S74	2017	333	corn	seedling	R9	C	CPWS	R3	Soy	Four	A	10	6	4.63	0.123	NA	NA	0.44	1.24	0.29	1.15	0.75	41.45	155.08	5.62	11.48	2423.14	4.539	36.364	8.011456268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_337_V4_S85	2017	337	corn	seedling	R17	E	CSSwSf	R3	Sunflower	Four	B	1	5	5.44	0.133	NA	NA	0.52	1.69	0.24	1.11	0.74	43.51	108.17	6.11	9.49	1427.12	4.5233	36.92	8.162182477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_406_V4_S5	2017	406	corn	seedling	R17	E	CSSwSf	R4	Sunflower	Four	B	3	6	4.9	0.118	NA	NA	0.56	1.54	0.29	1.11	0.75	35.7	99.63	4.67	8.95	899.77	5.0207	39.616	7.890533193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_409_V4_S6	2017	409	corn	seedling	R29	H	COWS	R4	Soy	Four	A	5	6	5.73	0.138	NA	NA	0.44	1.65	0.26	1.09	0.71	36.15	116.57	4.39	8.42	1122.59	5.0222	39.344	7.834016965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_411_V4_S17	2017	411	corn	seedling	R25	G	CSSwP	R4	Pea	Four	B	10	6	5.38	0.13	NA	NA	0.5	1.86	0.34	1.22	0.75	28.86	106.9	4.9	9.38	857.64	5.1351	40.282	7.844443146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_421_V4_S18	2017	421	corn	seedling	R9	C	CPWS	R4	Soy	Four	A	7	6	4.25	0.095	NA	NA	0.57	0.96	0.36	1.26	0.82	61.26	112.05	1.32	14.72	1009.54	5.5521	40.194	7.239422921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
corn_t1_434_V4_S29	2017	434	corn	seedling	R33	I	CSCS	R4	Soy	Two	C	2	2	3.6	0.087	NA	NA	0.6	0.79	0.38	1.4	0.86	120.07	113.47	1.11	22.6	931.91	5.5745	39.423	7.072024397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_113_V4_S3	2017	113	soy	seedling	R34	I	CSCS	R1	corn	Two	C	45	0	1.84	0.306666667	NA	NA	0.34	0.92	0.23	1.54	0.75	44.26	80.82	33.32	8.86	681.89	4.0812	41.746	10.22885426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_117_V4_S4	2017	117	soy	seedling	R12	C	CPWS	R1	winter wheat	Four	A	51	2	2.8	0.466666667	NA	NA	0.32	1.24	0.22	1.68	0.8	41.8	119.47	44.25	9.17	952.65	4.0813	38.918	9.535687159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_118_V4_S15	2017	118	soy	seedling	R26	G	CSSwP	R1	corn	Four	B	52	1	1.77	0.295	NA	NA	0.36	0.81	0.23	1.37	0.74	41.65	80.3	27.66	9.86	677.42	4.1473	40.677	9.8080679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_124_V4_S16	2017	124	soy	seedling	R18	E	CSSwSf	R1	corn	Four	B	39	0	1.9	0.316666667	NA	NA	0.35	1.01	0.21	1.44	0.69	40.15	221.76	43.69	10.67	1144.03	3.3739	37.336	11.06612526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_129_V4_S27	2017	129	soy	seedling	R32	H	COWS	R1	winter wheat	Four	A	56	1	2.23	0.371666667	NA	NA	0.35	1.39	0.22	1.62	0.77	43.1	110.51	32.47	9.68	942.84	4.2151	40.717	9.659794548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_205_V4_S28	2017	205	soy	seedling	R18	E	CSSwSf	R2	corn	Four	B	51	0	1.94	0.323333333	NA	NA	0.33	0.87	0.21	1.51	0.81	42.52	95.32	30.45	8.48	808.47	3.6676	40.51	11.04537027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_213_V4_S39	2017	213	soy	seedling	R26	G	CSSwP	R2	corn	Four	B	42	0	2.23	0.371666667	NA	NA	0.29	0.73	0.2	1.32	0.77	35.21	131.17	42.41	9.25	1234.85	3.7708	38.783	10.28508539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_222_V4_S40	2017	222	soy	seedling	R12	C	CPWS	R2	winter wheat	Four	A	56	0	1.97	0.328333333	NA	NA	0.32	0.94	0.22	1.77	0.85	40.61	99.65	29.59	8.89	725.87	4.0803	40.587	9.947062716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_230_V4_S51	2017	230	soy	seedling	R34	I	CSCS	R2	corn	Two	C	46	0	2.61	0.435	NA	NA	0.33	0.8	0.22	1.4	0.81	47.93	147.65	35.67	10.11	1780.02	3.2368	33.473	10.34138655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_232_V4_S52	2017	232	soy	seedling	R32	H	COWS	R2	winter wheat	Four	A	64	3	2.17	0.361666667	NA	NA	0.37	1.52	0.23	1.78	0.85	40.82	99.01	30.8	10.22	687.31	4.5844	42.095	9.182226682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_303_V4_S63	2017	303	soy	seedling	R32	H	COWS	R3	winter wheat	Four	A	56	3	2.47	0.411666667	NA	NA	0.26	1.49	0.19	1.54	0.76	34.22	143.74	26.46	9.5	1208.54	4.305	38.076	8.844599303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_310_V4_S64	2017	310	soy	seedling	R34	I	CSCS	R3	corn	Two	C	37	2	2.53	0.421666667	NA	NA	0.32	0.74	0.21	1.35	0.82	49.76	140.64	27.52	9	1449.51	2.9901	34.206	11.43975118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_312_V4_S75	2017	312	soy	seedling	R12	C	CPWS	R3	winter wheat	Four	A	48	1	2.18	0.363333333	NA	NA	0.34	1.6	0.21	1.55	0.73	46.31	86.99	30.35	9.13	661.78	3.9706	41.277	10.39565809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_314_V4_S76	2017	314	soy	seedling	R26	G	CSSwP	R3	corn	Four	B	39	0	2.87	0.478333333	NA	NA	0.29	0.62	0.18	1.14	0.67	38.21	213.62	27	8.78	2374.69	3.4932	34.895	9.989407993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_336_V4_S87	2017	336	soy	seedling	R18	E	CSSwSf	R3	corn	Four	B	38	0	1.57	0.261666667	NA	NA	0.35	1.37	0.24	1.58	0.79	40.76	78.28	33.87	9.53	619.39	4.2508	42.741	10.05481321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_408_V4_S30	2017	408	soy	seedling	R12	C	CPWS	R4	winter wheat	Four	A	58	1	2.21	0.368333333	NA	NA	0.38	1.59	0.24	2.13	0.92	50.23	124.53	51.18	11.23	910.98	4.0376	41.366	10.24519517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_423_V4_S41	2017	423	soy	seedling	R32	H	COWS	R4	winter wheat	Four	A	52	0	2.44	0.406666667	NA	NA	0.31	1.27	0.21	1.52	0.75	57.12	229.62	24.1	34.99	1974.34	3.8739	37.967	9.800717623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_426_V4_S42	2017	426	soy	seedling	R26	G	CSSwP	R4	corn	Four	B	44	2	2.63	0.438333333	NA	NA	0.32	0.73	0.22	1.45	0.82	45.44	217.52	27.5	10.6	2858.68	3.5359	32.691	9.245453774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_427_V4_S53	2017	427	soy	seedling	R34	I	CSCS	R4	corn	Two	C	40	0	1.94	0.323333333	NA	NA	0.3	0.69	0.22	1.53	0.74	35.72	115.75	33.6	9.93	1590.19	3.3676	34.604	10.27556717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
soy_t1_430_V4_S54	2017	430	soy	seedling	R18	E	CSSwSf	R4	corn	Four	B	49	0	1.81	0.301666667	NA	NA	0.33	1.16	0.23	1.58	0.82	36.31	100.32	29.36	8.85	1221.08	3.7505	41.784	11.14091454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
